"CONTROLN","TARGET_B","TARGET_D"
28,0,0
89,0,0
179,0,0
194,0,0
203,0,0
219,0,0
221,0,0
224,0,0
247,0,0
252,1,5
270,0,0
273,0,0
288,0,0
361,0,0
386,0,0
391,0,0
414,0,0
434,1,25
447,0,0
502,0,0
529,0,0
533,0,0
604,0,0
619,0,0
629,0,0
633,0,0
657,0,0
676,0,0
693,0,0
707,0,0
737,0,0
739,0,0
752,0,0
759,0,0
762,0,0
767,0,0
800,0,0
803,0,0
814,0,0
821,0,0
822,0,0
825,0,0
827,0,0
918,0,0
940,0,0
956,0,0
965,0,0
973,0,0
983,0,0
996,0,0
1022,1,20
1039,0,0
1041,0,0
1056,0,0
1073,0,0
1082,0,0
1096,0,0
1130,1,10
1139,0,0
1141,0,0
1151,0,0
1165,0,0
1197,0,0
1205,0,0
1240,0,0
1250,0,0
1272,0,0
1275,0,0
1300,0,0
1309,0,0
1310,0,0
1339,0,0
1351,0,0
1381,0,0
1394,0,0
1409,0,0
1420,0,0
1422,0,0
1436,0,0
1455,0,0
1484,0,0
1510,0,0
1514,0,0
1531,0,0
1570,0,0
1573,0,0
1583,0,0
1595,0,0
1604,0,0
1619,0,0
1650,0,0
1651,1,5
1665,0,0
1671,0,0
1707,0,0
1708,0,0
1755,0,0
1768,0,0
1778,0,0
1798,0,0
1839,1,15
1840,0,0
1845,0,0
1848,0,0
1872,0,0
1905,0,0
1943,0,0
1948,1,5
1960,0,0
1978,0,0
1990,0,0
2008,0,0
2059,0,0
2092,0,0
2110,0,0
2117,0,0
2140,0,0
2150,0,0
2190,0,0
2234,0,0
2260,0,0
2322,0,0
2362,0,0
2374,0,0
2421,0,0
2424,0,0
2429,1,10
2449,0,0
2457,0,0
2482,0,0
2488,0,0
2505,0,0
2539,0,0
2541,0,0
2543,0,0
2545,0,0
2571,0,0
2572,0,0
2616,0,0
2618,0,0
2621,0,0
2630,0,0
2734,0,0
2740,0,0
2753,0,0
2799,1,5
2824,0,0
2834,0,0
2902,0,0
2907,0,0
2911,0,0
2926,0,0
2998,0,0
3013,0,0
3047,0,0
3057,0,0
3061,0,0
3075,0,0
3084,0,0
3088,0,0
3106,0,0
3107,0,0
3157,0,0
3193,0,0
3196,0,0
3232,0,0
3244,0,0
3245,0,0
3254,0,0
3274,0,0
3280,0,0
3292,0,0
3301,0,0
3326,0,0
3334,0,0
3352,0,0
3374,0,0
3382,0,0
3416,0,0
3437,0,0
3472,0,0
3477,0,0
3517,0,0
3529,0,0
3547,0,0
3557,0,0
3568,0,0
3611,0,0
3617,0,0
3634,0,0
3662,1,16
3681,0,0
3693,0,0
3695,1,10
3703,0,0
3714,0,0
3758,0,0
3779,0,0
3840,0,0
3849,0,0
3855,0,0
3884,0,0
3888,0,0
3895,0,0
3902,1,35
3922,0,0
3923,0,0
3932,0,0
3943,0,0
3982,0,0
4006,1,200
4036,0,0
